player,score
Victor Wembanyama,3967.0
Baron Davis,3962.0882352941176
Scott Wedman,3960.5
Julius Keye,3947.583333333333
Theo Ratliff,3945.3333333333335
Eric Bledsoe,3942.678571428571
Kevin Duckworth,3938.4230769230767
Michael Finley,3917.3947368421054
Reggie Theus,3917.333333333333
Juwan Howard,3893.3999999999996
A.C. Green,3892.25
Quinn Buckner,3888.5
Sam Cassell,3884.954545454545
Carlos Boozer,3882.5384615384623
Jeff Mullins,3870.2500000000005
Jerry Stackhouse,3867.625
Doug Collins,3850.3125
World B. Free,3820.166666666667
Rashard Lewis,3819.3333333333335
Stew Johnson,3815.0751879699246
Fatty Taylor,3768.1875
Freddie Lewis,3764.863697705803
Brandon Ingram,3763.8888888888887
Jalen Rose,3747.684210526316
David West,3734.3333333333335
Roger Brown,3719.125
Otis Thorpe,3706.7142857142853
Dana Barros,3705.7142857142862
Steve Jones,3694.8846153846152
Monta Ellis,3691.0000000000005
Danny Manning,3688.7941176470586
Rodney McCray,3666.0
CJ McCollum,3665.6071428571427
Jim Paxson,3664.435897435898
Mike Miller,3658.184210526316
T.R. Dunn,3645.142857142857
Jeff Malone,3642.676470588235
Caron Butler,3639.4722222222226
De'Aaron Fox,3625.0
Anthony Edwards,3624.0
Isaiah Thomas,3618.052631578947
John Drew,3598.7727272727275
Wil Jones,3594.3888888888887
Avery Bradley,3582.25
Larry Johnson,3581.5
Boris Diaw,3578.8055555555557
Brad Miller,3570.1111111111113
Damon Stoudamire,3565.7647058823522
Hedo Türkoğlu,3556.088235294118
Zach LaVine,3545.423076923077
David Lee,3539.3125
Rod Strickland,3539.2608695652175
Danny Granger,3532.833333333334
Kiki Vandeweghe,3531.5
Lauri Markkanen,3526.8125
Anthony Mason,3525.2692307692305
Larry Hughes,3518.7857142857147
Raja Bell,3518.375
Chuck Person,3515.1153846153843
Glenn Robinson,3509.5909090909095
LaMelo Ball,3494.5
Allan Houston,3457.9583333333335
John Johnson,3455.1850961538457
Zydrunas Ilgauskas,3453.0
Jack Marin,3439.9583333333335
Derrick McKey,3437.5000000000005
Kyle Korver,3426.0652173913045
Glen Combs,3418.25
Vlade Divac,3398.375
George Thompson,3391.583333333333
Antonio McDyess,3388.4705882352937
Norm Nixon,3387.25
Jeff Hornacek,3377.3125
John Starks,3367.666666666666
Shane Battier,3365.3333333333335
Marvin Barnes,3365.0
Terrell Brandon,3348.461538461538
Roy Hibbert,3341.818181818182
Bill Melchionni,3328.7777777777783
Jamal Crawford,3305.522727272727
Tyrese Maxey,3304.5
Kermit Washington,3294.6250000000005
Kelly Tripucka,3289.25
Calvin Murphy,3276.076923076923
Darrell Griffith,3274.5
Paolo Banchero,3270.666666666667
Ricky Pierce,3268.25
Scottie Barnes,3267.375
Rony Seikaly,3256.6923076923076
Devin Harris,3228.7380952380954
Sean Elliott,3225.125
John Beasley,3224.6111111111113
Rudy Gay,3219.428571428571
Jason Terry,3217.631578947369
Don Kojis,3211.9166666666665
Darrell Armstrong,3211.78125
Jimmy Walker,3211.409090909091
Andre Miller,3209.9000000000005
Ted McClain,3207.5492424242425
Bob Kauffman,3204.642857142857
Tyreke Evans,3170.25
Josh Smith,3169.2058823529414
Shareef Abdur-Rahim,3162.6785714285716
Danny Ainge,3157.65625
Steve Smith,3146.861111111111
James Silas,3139.694444444445
Phil Ford,3138.722222222222
Robert Covington,3136.3684210526317
Brian Winters,3134.4444444444443
Sleepy Floyd,3132.5
Jamal Mashburn,3110.9615384615386
Nick Van Exel,3110.833333333333
Dale Davis,3107.5000000000005
Kenny Anderson,3107.340909090909
Jeff Green,3104.4
Tyrese Haliburton,3102.214285714286
Hersey Hawkins,3100.4999999999995
James Edwards,3094.8999999999996
Cincinnatus Powell,3088.6875
Christian Laettner,3088.235294117647
Sam Lacey,3081.5833333333335
